Group,Species,Stage,Stage.growout,Vertebrate,Aquatic,Average,Lower,Upper,Slaught_midpoint,Slaught_lower,Slaught_upper,Unit,Slaught_midpoint_months,Slaught_lower_months,Slaught_upper_months,Weight,Source
Chicken,Broilers,Cumulative,Cumulative,Vertebrate,Non-aquatic,5.12,2.74,7.5,40,,,Days,1.31147541,,,2170,"Lower: Junghans et al., 2022; Upper: FAO, 2023; Other sources: National Chicken Council and Leinonen and Kyriazakis, 2013"
Carnivorous fish,Yellow catfish,Fingerling,Pre-growout,Vertebrate,Aquatic,35,10,60,,,,,,,,,Welfare footprint
Carnivorous fish,Cobia,Fingerling,Pre-growout,Vertebrate,Aquatic,37.5,5,70,,,,,,,,,Welfare footprint
Carnivorous fish,Striped bass,Fingerling,Pre-growout,Vertebrate,Aquatic,20,10,30,,,,,,,,,Welfare footprint
Carnivorous fish,Coho Salmon,Fingerling,Pre-growout,Vertebrate,Aquatic,10,5,15,,,,,,,,,Welfare footprint
Carnivorous fish,Atlantic Salmon,Fingerling,Pre-growout,Vertebrate,Aquatic,10,5,15,,,,,,,,,Welfare footprint
Carnivorous fish,Pikeperch,Fingerling,Pre-growout,Vertebrate,Aquatic,60,50,70,,,,,,,,,Welfare footprint
Carnivorous fish,Meagre,Fingerling,Pre-growout,Vertebrate,Aquatic,20,10,30,,,,,,,,,Welfare footprint
Carnivorous fish,Atlantic cod,Fingerling,Pre-growout,Vertebrate,Aquatic,20,10,30,,,,,,,,,Welfare footprint
Carnivorous fish,Barramundi,Fingerling,Pre-growout,Vertebrate,Aquatic,20,10,30,,,,,,,,,Welfare footprint
Carnivorous fish,Rainbow trout,Fingerling,Pre-growout,Vertebrate,Aquatic,47.5,20,75,,,,,,,,,Welfare footprint
Carnivorous fish,Mangrove red snapper,Fingerling,Pre-growout,Vertebrate,Aquatic,0,0,0,,,,,,,,,Welfare footprint
Carnivorous fish,European perch,Fingerling,Pre-growout,Vertebrate,Aquatic,80,65,95,,,,,,,,,Welfare footprint
Carnivorous fish,Turbot,Fingerling,Pre-growout,Vertebrate,Aquatic,6,2,10,,,,,,,,,Welfare footprint
Carnivorous fish,Pangas catfish,Fingerling,Pre-growout,Vertebrate,Aquatic,35,30,40,,,,,,,,,Welfare footprint
Carnivorous fish,African sharptooth catfish,Fingerling,Pre-growout,Vertebrate,Aquatic,15,5,25,,,,,,,,,Welfare footprint
Carnivorous fish,John's Snapper,Fingerling,Pre-growout,Vertebrate,Aquatic,12.5,5,20,,,,,,,,,Welfare footprint
Carnivorous fish,European seabass,Fingerling,Pre-growout,Vertebrate,Aquatic,45,35,55,,,,,,,,,Welfare footprint
Carnivorous fish,Gilthead seabream,Fingerling,Pre-growout,Vertebrate,Aquatic,11,2,20,,,,,,,,,Welfare footprint
Carnivorous fish,Yellow catfish,Growout,Growout,Vertebrate,Aquatic,35,10,60,,,,,,,,,Welfare footprint
Carnivorous fish,Cobia,Growout,Growout,Vertebrate,Aquatic,20,10,30,,,,,,,,,Welfare footprint
Carnivorous fish,Striped bass,Growout,Growout,Vertebrate,Aquatic,20,10,30,,,,,,,,,Welfare footprint
Carnivorous fish,Coho Salmon,Growout,Growout,Vertebrate,Aquatic,10,5,15,,,,,,,,,Welfare footprint
Carnivorous fish,Atlantic Salmon,Growout,Growout,Vertebrate,Aquatic,17.5,10,25,,,,,,,,,Welfare footprint
Carnivorous fish,Pikeperch,Growout,Growout,Vertebrate,Aquatic,10,5,15,,,,,,,,,Welfare footprint
Carnivorous fish,Meagre,Growout,Growout,Vertebrate,Aquatic,25,10,40,,,,,,,,,Welfare footprint
