species,larval,postlarval,juvenile-adult
monodon,0.211850684,0.309372478,0.233811602
monodon,0.311619846,0.242752637,0.211567145
monodon,0.220171404,0.284459603,0.341676439
monodon,0.250594278,0.276081534,0.374048338
monodon,0.243840955,0.254446567,0.368756311
monodon,0.214186105,0.210541659,0.244334942
monodon,0.322516789,0.233520403,0.220932698
monodon,0.243299959,0.267458914,0.280692822
monodon,0.308429738,0.221234771,0.381716003
monodon,0.249981461,0.215701902,0.307649637
monodon,0.264357761,0.191798756,0.251946977
monodon,0.247438983,0.257303518,0.23193135
monodon,0.289204187,0.274827505,0.314689469
monodon,0.230716643,0.22444314,0.387439783
monodon,0.252885505,0.226840164,0.307579612
monodon,0.19081227,0.236198918,0.300674269
monodon,0.249247356,0.22676877,0.392870021
monodon,0.262311741,0.21653613,0.20428866
monodon,0.234996899,0.273852656,0.220582102
monodon,0.215872481,0.224679405,0.282383167
monodon,0.284917798,0.283881186,0.322750805
monodon,0.261063793,0.257377429,0.278707184
monodon,0.200778735,0.267693404,0.324722371
monodon,0.206142342,0.267522019,0.2463314
monodon,0.31357774,0.210233687,0.323489671
monodon,0.278236263,0.256814944,0.259431026
monodon,0.247759262,0.243468165,0.297546594
monodon,0.213972601,0.220021425,0.220407395
monodon,0.255851421,0.186360617,0.313841104
monodon,0.246948372,0.214632521,0.280840514
monodon,0.272312279,0.30024118,0.294632806
monodon,0.234348927,0.295649285,0.394380734
monodon,0.240793531,0.28060643,0.204445112
monodon,0.225473462,0.228510886,0.223941061
monodon,0.254087274,0.186732805,0.347248355
monodon,0.227610699,0.241342653,0.365747725
monodon,0.268429279,0.225676321,0.337078161
monodon,0.217728979,0.256262365,0.207222544
monodon,0.252285395,0.300567038,0.372186458
monodon,0.268167013,0.266924489,0.273678578
monodon,0.244744564,0.259330171,0.32991815
monodon,0.248608411,0.258884738,0.226772043
monodon,0.265304283,0.242733669,0.349644619
monodon,0.244952789,0.319630377,0.20500361
monodon,0.231742965,0.245370162,0.213657657
monodon,0.226910325,0.267671694,0.288828144
monodon,0.226119035,0.263228656,0.331986382
monodon,0.211748048,0.253924411,0.329692395
monodon,0.251353904,0.253229266,0.347347348
monodon,0.232267549,0.235048114,0.396894524
monodon,0.251870063,0.233484136,0.310788293
monodon,0.239902524,0.208629179,0.319623349
monodon,0.280532193,0.272996376,0.288168463
monodon,0.304651882,0.23771109,0.315979278
monodon,0.265224808,0.229821242,0.294283476
monodon,0.22496181,0.246465608,0.392323282
monodon,0.266740539,0.251345737,0.206727088
monodon,0.253845328,0.237917198,0.318984089
monodon,0.254669023,0.279676657,0.201662816
monodon,0.253148944,0.225627884,0.366498907
monodon,0.25301182,0.268665953,0.25447134
monodon,0.216339063,0.266786095,0.25550954
monodon,0.31598201,0.230774274,0.348307198
monodon,0.25291784,0.246177311,0.358143525
monodon,0.241738555,0.250405767,0.220208202
monodon,0.253388013,0.281044275,0.355021383
monodon,0.325635032,0.285578307,0.337952529
monodon,0.217644529,0.292435425,0.35510041
monodon,0.275193287,0.253304024,0.337938661
monodon,0.260392394,0.226717026,0.221403037
monodon,0.20256011,0.287754153,0.389378008
monodon,0.242356051,0.250976313,0.328011591
monodon,0.257169452,0.218236756,0.282609468
monodon,0.202749804,0.248317171,0.272353115
monodon,0.26146095,0.227357895,0.210017949
monodon,0.21656207,0.240305299,0.381363314
monodon,0.246971097,0.311047557,0.371795303
monodon,0.18597727,0.260274359,0.38736653
monodon,0.284119586,0.217804561,0.293585354
monodon,0.261903789,0.282489384,0.276611804
monodon,0.304357057,0.209932338,0.346607487
monodon,0.25261141,0.246560244,0.352534702
monodon,0.24068575,0.292962649,0.352702611
monodon,0.305967578,0.269821531,0.233771543
monodon,0.234762808,0.292553834,0.298441353
monodon,0.19875937,0.235194449,0.205041035
monodon,0.224910468,0.239879552,0.35953943
monodon,0.217038084,0.233417486,0.342200887
monodon,0.257765248,0.234176092,0.365619318
monodon,0.217223064,0.292799429,0.264242702
monodon,0.236455604,0.277679616,0.321464136
monodon,0.272739287,0.240013741,0.320701273
monodon,0.256237393,0.271300872,0.251702792
monodon,0.240826154,0.316510586,0.202232667
monodon,0.290519624,0.232611285,0.384087507
monodon,0.244904698,0.30594358,0.249789878
monodon,0.292485452,0.232083832,0.232747936
monodon,0.276579626,0.191527393,0.233479863
monodon,0.287050064,0.252585255,0.378722165
monodon,0.196144473,0.216427808,0.265721741
monodon,0.216674803,0.248500893,0.386219248
monodon,0.277625476,0.269879069,0.292147274
monodon,0.275834626,0.237667803,0.276337718
monodon,0.219101351,0.261884316,0.278534399
monodon,0.272642737,0.277494117,0.377051184
monodon,0.238615034,0.285783633,0.256262894
monodon,0.241021847,0.28779064,0.240457549
monodon,0.243361937,0.256469467,0.307225822
monodon,0.25973586,0.190482331,0.379865059
monodon,0.250463674,0.250122791,0.374632494
monodon,0.257915201,0.244137213,0.325448058
monodon,0.253392363,0.182983378,0.369813444
monodon,0.22193556,0.245919442,0.381771912
monodon,0.225326235,0.220504474,0.20315774
monodon,0.213866492,0.260503268,0.210146615
monodon,0.210327044,0.238850544,0.256591874
monodon,0.308125874,0.249860083,0.369572535
monodon,0.208758221,0.249588887,0.313218475
monodon,0.230733583,0.25922241,0.249774276
monodon,0.284269675,0.259727414,0.250770591
monodon,0.253400619,0.255805025,0.243825371
monodon,0.264184374,0.276357016,0.242905886
monodon,0.229245898,0.205393773,0.366887042
monodon,0.328529342,0.264182424,0.231159085
monodon,0.283067842,0.241679671,0.385342243
monodon,0.166465093,0.233516083,0.377800278
monodon,0.182046923,0.28642627,0.350760098
monodon,0.225514785,0.292333807,0.200767306
monodon,0.250186451,0.244006135,0.368113878
monodon,0.271908598,0.22056971,0.360027125
monodon,0.2880732,0.28857426,0.205530861
monodon,0.233313786,0.226003029,0.289899223
monodon,0.236332393,0.291682895,0.252780419
monodon,0.257402851,0.272596007,0.247671987
monodon,0.253031356,0.2711895,0.323316905
monodon,0.270709032,0.205689083,0.308960251
monodon,0.324559243,0.188245346,0.224387957
monodon,0.222191375,0.261062945,0.320206715
monodon,0.258029076,0.257201196,0.278616235
monodon,0.234995487,0.208135969,0.252847975
monodon,0.22987522,0.225157213,0.209496383
monodon,0.227739328,0.238659698,0.362845317
monodon,0.258106414,0.259049319,0.32371772
monodon,0.256780647,0.250031063,0.213275632
monodon,0.22290565,0.23126153,0.346669059
monodon,0.2649987,0.242953812,0.368753778
monodon,0.257533128,0.286798051,0.359552138
monodon,0.185854432,0.260738175,0.259105286
monodon,0.244583746,0.228327389,0.297889852
monodon,0.28280691,0.306651491,0.375552102
monodon,0.256109397,0.285193259,0.362365492
monodon,0.244027357,0.209114078,0.282099659
monodon,0.279863618,0.238581078,0.346722272
monodon,0.265057982,0.214095897,0.278124778
monodon,0.179434931,0.241078393,0.28720824
monodon,0.224533331,0.234736834,0.249157028
monodon,0.285662979,0.201048711,0.365818823
monodon,0.240334222,0.254477715,0.334100491
monodon,0.264520705,0.242952698,0.258810024
monodon,0.244955933,0.262615554,0.227455253
monodon,0.237011638,0.303410853,0.280361964
monodon,0.198731002,0.243746453,0.258767272
monodon,0.206294306,0.248415907,0.36467514
monodon,0.220883194,0.227430642,0.225248545
monodon,0.251199462,0.19091642,0.32100452
monodon,0.190121337,0.264530625,0.353318536
monodon,0.207069801,0.278325687,0.312536712
monodon,0.23962208,0.243869462,0.255474331
monodon,0.247098265,0.321220617,0.364214635
monodon,0.246780816,0.318036905,0.360431465
monodon,0.29011218,0.269067538,0.37648766
monodon,0.257049061,0.267973789,0.247489311
monodon,0.227160527,0.231529605,0.379282146
monodon,0.255785424,0.238250773,0.270816791
monodon,0.288516643,0.247119065,0.35025119
monodon,0.291713132,0.244909639,0.211741056
monodon,0.279097762,0.247993726,0.246844601
monodon,0.23469662,0.244601777,0.271044837
monodon,0.269673198,0.242234415,0.389145269
monodon,0.222569112,0.319212633,0.285748357
monodon,0.231078326,0.264803535,0.252486178
monodon,0.214036466,0.240819344,0.393070813
monodon,0.243506971,0.282290731,0.346010066
monodon,0.261533422,0.257212689,0.320427199
monodon,0.255193683,0.291305692,0.289776953
monodon,0.285961182,0.22378548,0.26130592
monodon,0.283249104,0.261562229,0.343883622
monodon,0.222072363,0.241985322,0.392921686
monodon,0.280933354,0.240061965,0.369048538
monodon,0.237212295,0.275333203,0.298864086
monodon,0.232079166,0.245669479,0.278263778
monodon,0.181935205,0.219648005,0.300542846
monodon,0.258089887,0.228281528,0.29677445
monodon,0.250579503,0.24087326,0.355170852
monodon,0.237691055,0.242746118,0.380652198
monodon,0.288266665,0.242378115,0.269737183
monodon,0.231337995,0.214790947,0.377231463
monodon,0.252232997,0.260508015,0.232411994
monodon,0.246677683,0.197018864,0.374723889
monodon,0.236573525,0.233869777,0.214097211
monodon,0.212520804,0.269160894,0.224001856
monodon,0.299596434,0.215283763,0.290627562
monodon,0.205107124,0.2362447,0.385372556
monodon,0.242608448,0.225192986,0.206802978
monodon,0.270594116,0.256613782,0.386435939
monodon,0.217043909,0.258300755,0.27114262
monodon,0.25259291,0.292022601,0.388530046
monodon,0.247255702,0.21267466,0.288388153
monodon,0.269773016,0.285279065,0.208475436
monodon,0.231448381,0.261902004,0.2588306
monodon,0.20258625,0.274334624,0.273254302
monodon,0.219914404,0.272950088,0.291963777
monodon,0.198496235,0.230846191,0.255434762
monodon,0.223229485,0.321304467,0.337668169
monodon,0.288139153,0.294476502,0.323810063
monodon,0.173284323,0.297748255,0.33464557
monodon,0.222855247,0.259721947,0.397336812
monodon,0.222310687,0.214268026,0.281407338
monodon,0.243115429,0.231904501,0.370594461
monodon,0.21707252,0.257239913,0.276019045
monodon,0.273846987,0.219775593,0.309419041
monodon,0.281887503,0.243679974,0.345140179
monodon,0.267767382,0.360887603,0.32330486
monodon,0.225537656,0.240203951,0.396999284
monodon,0.250909951,0.198295889,0.274771124
monodon,0.26068189,0.228637415,0.209470074
monodon,0.236028694,0.224790166,0.279597001
monodon,0.333736223,0.214207648,0.279610206
monodon,0.269203373,0.273082255,0.331610242
monodon,0.224812809,0.227794088,0.301351006
monodon,0.261580501,0.202896964,0.263252127
monodon,0.227604056,0.249334065,0.322049673
monodon,0.222087912,0.235724607,0.361492253
monodon,0.228273871,0.265683393,0.284111529
monodon,0.273949203,0.207692377,0.375036389
monodon,0.272943915,0.27232687,0.224651541
monodon,0.255111662,0.259743895,0.225575063
monodon,0.250780669,0.165313932,0.285790475
monodon,0.252736797,0.226852634,0.254228653
monodon,0.270654318,0.241205864,0.270995765
monodon,0.240076533,0.300366485,0.397176335
monodon,0.276455109,0.239403067,0.360601793
monodon,0.243213919,0.195889595,0.394186659
monodon,0.24450518,0.208055304,0.205308776
monodon,0.22711632,0.203110206,0.385358645
monodon,0.230912147,0.245379957,0.27677039
monodon,0.207212751,0.244502889,0.356174118
monodon,0.257970583,0.269900894,0.242480745
monodon,0.257266854,0.267067227,0.210674309
monodon,0.318483668,0.199725203,0.362688563
monodon,0.226378006,0.243813249,0.236533045
monodon,0.252199658,0.244356905,0.270298473
monodon,0.240978254,0.251372032,0.262519578
monodon,0.230338975,0.228160742,0.341894835
monodon,0.223425248,0.282085132,0.29750885
monodon,0.274122302,0.237407016,0.381828717
monodon,0.250581378,0.234416788,0.283146453
monodon,0.250258367,0.210173955,0.303735471
monodon,0.227211047,0.231069029,0.273846476
monodon,0.262237269,0.216803968,0.362433292
monodon,0.232237228,0.251112134,0.230418532
monodon,0.239484656,0.206876398,0.237807437
monodon,0.263911847,0.210055573,0.376432966
monodon,0.209699511,0.210892035,0.35491276
