vannamei,monodon,other_pen,macrobrchium
2.7529E+11,32819699820,11431470024,25990349859
3.66127E+11,15864323993,32395570511,24195682305
2.31176E+11,23245924546,73120140796,39654111273
3.92644E+11,13578180118,13901448095,41018415270
5.35701E+11,13859515640,17868344305,57888414500
3.2161E+11,19259270645,35538608698,30880480722
2.06427E+11,16871086127,12622030305,29404065076
3.97804E+11,21498132597,17376934228,20658520673
4.33311E+11,17544039901,39106772229,26216845166
3.67379E+11,18793844073,24561087752,27142223237
2.88587E+11,14330361493,31078977272,32621128694
3.97617E+11,25614779301,41917510186,50374148359
4.09333E+11,28342513576,24071472479,42839992116
2.29013E+11,20435902538,23443717667,41597186236
3.82726E+11,23562802748,11721875072,25497126502
2.69409E+11,37957061144,14114123463,26749320932
2.8163E+11,18134637900,19270862520,27905562766
2.3191E+11,19263096584,15985069489,24508475358
3.32776E+11,35678520854,7989576703,30661245599
3.83909E+11,16483740298,35581004691,40229773890
3.28209E+11,44784424094,34400329785,47134689218
3.50097E+11,22091994099,18591460270,38944317206
2.78815E+11,18198016642,14380322825,28540822013
2.16465E+11,15554061130,13792416068,19672831071
5.11765E+11,16020191597,21770109786,33957844290
4.41008E+11,20502972022,28290473897,33333125357
2.38441E+11,27648921761,35086026488,21997782245
3.22989E+11,21310656948,20862530540,29339227201
2.4367E+11,40517782379,14283614796,25036968330
4.90639E+11,15554736652,11021866911,17305602231
1.81539E+11,29903678091,20177951812,22773393147
3.96661E+11,36188539453,52143943571,32013858091
2.79296E+11,19351785183,41843533929,29073002553
3.17063E+11,35030182618,42972991426,35323467519
3.13209E+11,10046681703,9473842765,50850815163
2.90569E+11,15310738075,10119697456,41854885276
2.99798E+11,19872339529,13538956567,34020142702
2.33123E+11,26048863937,16300423320,35591324770
1.85714E+11,21979241860,29304935173,17903327383
3.54718E+11,22600225640,31684018983,35355391466
2.54682E+11,20493988785,26826283195,22331698703
3.84348E+11,16118730946,20390558080,42298987327
3.93238E+11,16041628680,33642348640,26305692564
1.91794E+11,33615633737,17996330578,35202441591
4.1103E+11,23648226707,41543184080,25458545957
3.14133E+11,28617869163,24899152041,23766278624
2.44231E+11,24526606759,18061518055,42632992880
2.61641E+11,28610028275,9790911767,32677878648
3.79507E+11,19784535366,12857072625,21818010720
3.16487E+11,43479524956,21992258331,37707488859
2.99193E+11,11425897189,42969298774,37487103334
3.61429E+11,33298674627,63346741318,38877785201
3.45666E+11,18568393700,80321682240,37592968115
4.48196E+11,19486948830,36408349398,35691364282
3.73153E+11,16641406711,20097985632,38542201959
3.35258E+11,26868257886,31541478203,43619143849
3.48392E+11,23709992303,21810994629,41141348928
2.8089E+11,13908296652,22844885663,25656899703
2.9528E+11,16781217312,33073152910,27939631227
3.26466E+11,20305368685,39969018048,34926514363
4.80937E+11,29202897065,37975748554,27946685142
2.30593E+11,21399013747,22632614599,38438945688
2.4116E+11,16784812382,20074316946,35291364365
3.51805E+11,15745429745,11932856533,51937236558
2.37223E+11,35525914176,12342220806,24949477767
4.32105E+11,18027464452,14015142055,35117653468
4.56168E+11,57763363720,19171498760,25896805318
3.37334E+11,12633588544,25673157416,28097578547
3.23432E+11,24461603143,15964891712,22349746861
3.89219E+11,24899329772,21386439651,24434613441
5.78051E+11,9835624659,32183367713,32201185473
3.85187E+11,16440396469,15022942177,32569914874
2.42932E+11,22807556241,8625771534,24688066233
3.09788E+11,20571561757,32951600034,26780514315
2.74854E+11,14442479902,17508818855,31639852246
2.29243E+11,16332002333,6445763752,34963375666
4.2559E+11,24164865600,48080631897,17152213492
3.29901E+11,19280630182,50719497809,29155189816
2.93299E+11,17649811736,27694422201,30014659438
2.58267E+11,19724046453,26796176228,33754986937
5.22524E+11,15470258311,25613212696,26107236231
2.36059E+11,9296086589,41133727314,24854663406
4.00592E+11,19870171055,15674852058,22866769578
3.92808E+11,11519381728,26055996459,42314491530
4.51767E+11,32386229484,21303399210,33435833186
3.33801E+11,23268040821,17804469084,40238999631
3.82448E+11,32328494093,24861970451,35102123381
2.07054E+11,17451544981,16644473960,22788361186
2.25226E+11,12988384946,21164541863,25977957789
4.74059E+11,28208619495,24342355049,25569257008
2.96271E+11,35664135342,19299409321,32176578087
4.58137E+11,22774607851,6077804208,22703435218
3.48557E+11,20028465807,14858170332,32223900090
2.52197E+11,20861016097,24950077156,23603912222
5.07989E+11,32969282711,16597970633,36602231421
3.28771E+11,26724799674,17917782138,27602586136
4.89912E+11,13788318746,41626477773,32081083124
4.35887E+11,23096851832,38956459149,41807383926
2.22128E+11,18544411556,8455538350,41251249798
3.11347E+11,21794163734,41005613051,20236545191
2.73624E+11,15213291063,9605098405,69179051417
3.93596E+11,63043872276,39794948048,47995892024
3.54233E+11,24944843508,12892762746,35655065251
6.47894E+11,13629573949,25448840168,39562052164
2.6512E+11,21975897018,15654065713,50685057765
2.42178E+11,19211009878,16806845704,35249979736
1.9192E+11,9370628697,28602868583,31160566275
4.5813E+11,13025091776,32779180786,31914916739
3.01992E+11,41908365373,20715793063,25760505444
1.8783E+11,15613197728,14132340428,27430695634
4.94926E+11,34028543340,28488058555,27625394187
3.31369E+11,20564291988,17538468355,22330888831
2.87053E+11,21635906928,17161052399,41808556704
3.41302E+11,23990920812,17743454114,28391874258
3.58782E+11,16508852558,20344973728,26004567061
1.65116E+11,23085340145,38145549794,18157320639
4.22132E+11,18727887950,34939378894,23956382867
3.12809E+11,10475193218,46413403373,26767654769
2.81041E+11,19334149517,26549903688,29947340286
2.16432E+11,30053399885,18154275004,32016288375
3.69281E+11,36553494726,62369030651,38303105605
6.21194E+11,37064240640,28416421623,37407498234
3.60596E+11,16873927302,33909197831,20779588020
3.82649E+11,14390878200,79419599701,25889542371
3.12647E+11,26710699735,9966547581,29483211864
3.75095E+11,19086111216,44309080044,35089929761
2.01853E+11,24830666811,24183132189,44945749850
3.15484E+11,49796236222,19061163841,40007154688
3.74934E+11,20829107885,22293655087,27475039568
3.19962E+11,24220432098,23379458296,30064478363
3.99008E+11,25811199906,16902461324,24972211504
