species,larval,postlarval,juvenile.adult,total_farmed_d
vannamei,3.809610287,12.28361418,59.68148711,160.8319564
vannamei,4.921083131,16.57336403,89.36577874,173.6052247
vannamei,2.032558014,17.7586603,104.9718766,175.5047182
vannamei,3.554814382,16.84111113,76.56547238,138.336949
vannamei,1.411067258,14.86751661,51.72837695,156.6573304
vannamei,0.551237771,14.91081159,65.45617022,187.6033033
vannamei,5.212824833,13.56424587,67.35308444,195.7580988
vannamei,4.106714723,14.15617952,107.922368,197.0532311
vannamei,4.088979367,18.9107859,93.23287502,136.0264625
vannamei,3.710150967,13.02631168,76.79995469,157.5892222
vannamei,2.60875534,16.83109454,87.79017509,175.1580732
vannamei,2.223453218,13.42001936,78.56411457,154.6759166
vannamei,3.743616255,17.08074955,67.74569923,134.3811584
vannamei,1.75111386,13.37315234,107.0627433,149.5786709
vannamei,1.873289367,19.04435951,77.59798384,139.6093978
vannamei,1.314952581,12.64538786,85.90766995,166.9658954
vannamei,6.561282226,12.33348661,62.60165345,161.0047606
vannamei,0.581605314,13.91581316,53.95913173,172.4540498
vannamei,1.435887505,15.2140737,77.20414627,149.5548051
vannamei,3.445676003,15.66185812,102.7121199,148.9427967
vannamei,1.787197881,17.78597554,66.52969472,132.6493342
vannamei,11.84875185,19.17631447,108.4168771,109.9481041
vannamei,1.0795924,14.94898977,84.06434906,141.4453364
vannamei,12.46169845,16.67377865,50.84898297,164.9364984
vannamei,1.10093761,17.62563112,107.7757148,139.1240199
vannamei,1.05266,25.51749785,72.69408168,156.1472074
vannamei,2.704879585,12.61343232,51.60110401,132.7812418
vannamei,0.626970349,16.77234762,87.30015736,183.9449993
vannamei,1.11869446,13.33141931,104.1117036,174.8232371
vannamei,4.269478331,17.08614417,109.0853347,144.748564
vannamei,3.493176604,14.83198521,86.77073615,122.0148267
vannamei,1.78823978,16.81025307,72.54988911,114.329658
vannamei,2.632693112,15.97726629,92.01564057,117.8263676
vannamei,0.767537284,16.15419962,74.76514146,149.4309553
vannamei,0.545957126,17.78186972,87.09615422,157.3811808
vannamei,0.573508567,15.1337333,62.20417093,138.5222379
vannamei,0.823377595,18.83628653,52.26605635,131.5309506
vannamei,4.988198528,14.35129681,93.41844453,213.736555
vannamei,0.659991841,15.38325597,73.04176919,202.5075885
vannamei,2.953583406,19.23659824,79.29544203,187.6056235
vannamei,1.63955234,15.36963864,76.71920365,112.4436041
vannamei,11.53892247,16.79194441,94.20508406,183.9337552
vannamei,0.245813119,13.91651426,105.7881746,125.7308057
vannamei,4.7195691,10.74740356,108.0034541,107.8173891
vannamei,2.128311646,14.24071281,108.8494176,151.9517545
vannamei,0.743778945,14.92094786,101.0585741,148.9469092
vannamei,3.207954816,20.23842256,64.74928219,128.7332593
vannamei,2.751492929,13.25192805,86.84101684,151.4456978
vannamei,6.7031084,15.01832315,63.51142123,152.6059537
vannamei,5.03943304,15.98513513,71.02732412,171.3771451
vannamei,5.346817948,13.3690328,64.72475793,161.5382532
vannamei,3.729352297,17.01985693,85.44488386,106.9180603
vannamei,0.365056616,18.96837657,76.28463162,167.192753
vannamei,1.609698779,15.57518231,88.77342887,127.6919247
vannamei,2.533297086,15.43413341,52.91750561,102.5664633
vannamei,3.798885355,17.9011295,93.16194344,142.2663248
vannamei,8.442327147,17.92751169,79.73968119,128.1293393
vannamei,0.691852223,13.31885935,71.45136796,197.0501156
vannamei,2.869987329,17.49778197,78.29083466,155.0702299
vannamei,0.389618208,11.89764107,76.25710481,155.6510557
vannamei,3.070229213,13.78729824,54.13212608,132.4306856
vannamei,3.781393838,14.45873509,75.28024941,155.2833788
vannamei,4.303180979,20.68794642,101.0418556,168.9577916
vannamei,0.51955044,13.87735438,86.00551727,133.6090175
vannamei,2.397634154,13.81534471,93.8473724,193.8383617
vannamei,4.548337199,15.30160931,61.38582757,153.10093
vannamei,4.948135818,13.79198341,81.41029873,133.6286174
vannamei,4.009259465,15.11543612,78.48587376,152.6333871
vannamei,0.678699563,14.23950201,81.53612237,150.9070994
vannamei,0.688312553,13.16947993,98.4267201,149.2864398
vannamei,1.166423124,16.39886861,63.5362037,119.4182835
vannamei,1.411958259,21.43810644,79.17351873,203.6427865
vannamei,1.541043044,11.43087537,52.57116778,172.5889321
vannamei,10.88006952,13.24529656,104.8730298,109.9645505
vannamei,3.06024035,13.23679911,68.81677406,172.0630176
vannamei,0.985376091,11.49997177,93.86581187,203.1555082
vannamei,2.341057465,19.85273538,77.85152638,149.9761262
vannamei,5.414794045,16.52464151,81.59919949,176.4899348
vannamei,3.076308606,10.93864193,84.84584613,157.3915826
vannamei,2.084876137,14.46792605,72.17699981,173.9351812
vannamei,0.708768471,14.67665919,102.0251638,137.0239046
vannamei,1.002508232,19.6374717,89.81488347,138.0996614
vannamei,1.319998954,10.5116073,71.07947478,141.7062494
vannamei,0.3606421,15.64154923,102.3638166,164.6767498
vannamei,2.711144698,17.21227631,106.5482507,176.6912599
vannamei,2.703065785,11.21326317,52.05219139,154.3002355
vannamei,8.774749853,14.45179339,51.52955291,125.3411719
vannamei,1.544717176,14.91867037,80.45281096,141.6034074
vannamei,4.081638591,13.59263507,104.2059663,150.9167434
vannamei,8.535389346,16.9570529,82.44851297,136.2627455
vannamei,1.439454187,16.27846532,61.68607971,151.68344
vannamei,3.214631434,16.29316635,91.28114971,123.443069
vannamei,3.171082822,18.55523144,94.38451698,119.157131
vannamei,0.45974448,15.88949017,78.93979402,213.7090131
vannamei,5.183445345,13.76357786,87.41241944,161.6719158
vannamei,0.568626479,18.35555882,85.98997705,114.0866164
vannamei,1.747404304,9.936914281,57.56908047,198.4697328
vannamei,0.481217255,10.74799939,89.43340113,221.3737639
vannamei,0.716482728,9.922824152,71.06410851,164.6911127
vannamei,1.480049013,14.38590312,91.59574928,127.435336
vannamei,1.353787479,15.51401579,83.85002474,165.9440801
vannamei,5.135429718,13.34019271,94.16955672,133.9470729
vannamei,2.773238026,12.7741234,56.86054129,216.4620573
vannamei,2.034241949,13.66215091,58.82991446,164.8794966
vannamei,3.675027918,13.01404292,60.44115362,137.8002519
vannamei,1.148559679,12.64038938,55.01253445,167.3935369
vannamei,1.36019677,14.52780805,60.78771658,196.1855437
vannamei,1.970814259,11.50666334,84.51133722,153.5565294
vannamei,4.182431726,14.15821504,70.78884296,170.954424
vannamei,2.848534035,26.32202154,60.82016969,239.1740862
vannamei,1.077276207,16.05425385,67.49399115,141.9341048
vannamei,0.654321843,20.70129813,62.05667503,166.5652019
vannamei,13.65213078,18.12007167,97.40757013,206.139366
vannamei,1.035795752,11.36116005,90.31778097,148.3092905
vannamei,0.259518964,15.94164688,98.2538605,112.135533
vannamei,0.846827254,17.421458,61.75369974,149.4633919
