species,larval,postlarval,juvenile-adult
vannamei,0.197144794,0.13508461,0.152045082
vannamei,0.126691387,0.154695958,0.116822295
vannamei,0.109135796,0.130398844,0.120030702
vannamei,0.175960808,0.150056294,0.086722991
vannamei,0.109056445,0.121730319,0.136518835
vannamei,0.164445476,0.205302335,0.22369379
vannamei,0.154036479,0.172798703,0.368202044
vannamei,0.141848891,0.117811703,0.0488377
vannamei,0.136436444,0.150891426,0.158746969
vannamei,0.09965592,0.189993599,0.227979567
vannamei,0.113031545,0.11906884,0.088796413
vannamei,0.179466849,0.149078145,0.192304364
vannamei,0.123154437,0.125383474,0.211966891
vannamei,0.137929462,0.154855041,0.092300969
vannamei,0.172378842,0.122279553,0.353544859
vannamei,0.115316468,0.1671994,0.176411473
vannamei,0.146928618,0.160464973,0.104766114
vannamei,0.109355539,0.126438919,0.251483872
vannamei,0.247110863,0.11219501,0.037944595
vannamei,0.135401343,0.169997079,0.072081613
vannamei,0.185629999,0.138100176,0.143626471
vannamei,0.172582597,0.116475525,0.213449405
vannamei,0.198132764,0.171045915,0.070724723
vannamei,0.173620323,0.110161508,0.119669718
vannamei,0.202749886,0.218308704,0.456162407
vannamei,0.165769097,0.258578354,0.178124544
vannamei,0.101137306,0.219387402,0.322266862
vannamei,0.194138054,0.109002384,0.172354044
vannamei,0.171097441,0.115307634,0.060065311
vannamei,0.114816458,0.133105259,0.104691433
vannamei,0.12219544,0.177378041,0.253757217
vannamei,0.152698151,0.113961413,0.114371471
vannamei,0.133392679,0.138230598,0.10272278
vannamei,0.124519404,0.188590762,0.296032556
vannamei,0.178021385,0.168679579,0.041171952
vannamei,0.151195838,0.136306357,0.099555691
vannamei,0.135900434,0.147347428,0.124126108
vannamei,0.237131258,0.200430322,0.427469624
vannamei,0.203702067,0.092617764,0.119884715
vannamei,0.175832957,0.114329217,0.265547706
vannamei,0.195407848,0.13716245,0.094763712
vannamei,0.160547687,0.147626813,0.12983241
vannamei,0.261299287,0.174249403,0.436016206
vannamei,0.219546536,0.188056379,0.063831157
vannamei,0.164134591,0.097147496,0.246747047
vannamei,0.158646323,0.145564672,0.111138635
vannamei,0.129821489,0.127293099,0.212263437
vannamei,0.152679159,0.125678545,0.1529304
vannamei,0.095157915,0.095129036,0.084012263
vannamei,0.09320027,0.14187797,0.32123819
vannamei,0.134735258,0.114771931,0.06781678
vannamei,0.13154719,0.123142674,0.151562795
vannamei,0.120957228,0.18157923,0.074358199
vannamei,0.117467413,0.174218423,0.340938329
vannamei,0.109849554,0.105344186,0.084741013
vannamei,0.183680295,0.14674355,0.060163834
vannamei,0.159634228,0.123955257,0.154289114
vannamei,0.229841131,0.148903137,0.17014325
vannamei,0.12833144,0.226713515,0.22159585
vannamei,0.121861406,0.105382326,0.222479685
vannamei,0.109445435,0.178529858,0.06631447
vannamei,0.169780986,0.163195325,0.153503092
vannamei,0.167168556,0.189078703,0.380488735
vannamei,0.130374137,0.119817712,0.147169566
vannamei,0.102292177,0.153339737,0.076499146
vannamei,0.145465328,0.216767435,0.071924819
vannamei,0.134786152,0.133183575,0.075157236
vannamei,0.134610684,0.157488538,0.149732306
vannamei,0.142162322,0.150112437,0.24980344
vannamei,0.111234112,0.20637324,0.114128942
vannamei,0.112278307,0.199801494,0.074207949
vannamei,0.244214195,0.160460311,0.112995778
vannamei,0.13511066,0.205837906,0.253970722
vannamei,0.224608868,0.138344093,0.125219263
vannamei,0.104772353,0.202901923,0.037701792
vannamei,0.174804307,0.143650244,0.196785287
vannamei,0.127404495,0.312834528,0.055917876
vannamei,0.221407798,0.172937763,0.073772741
vannamei,0.12851773,0.130480156,0.385484032
vannamei,0.148390233,0.168827422,0.101486464
vannamei,0.096301604,0.175324687,0.106418387
vannamei,0.13263462,0.154786749,0.186813424
vannamei,0.158926252,0.185672983,0.070004934
vannamei,0.11004681,0.124469914,0.216710429
vannamei,0.201021276,0.134473425,0.890233775
vannamei,0.187866148,0.120354628,0.207570029
vannamei,0.18541364,0.211426058,0.142263619
vannamei,0.112864108,0.157253054,0.332575564
vannamei,0.099752687,0.115962714,0.143717041
vannamei,0.114341352,0.148156275,0.48981653
vannamei,0.209018141,0.169902431,0.054166564
vannamei,0.129340798,0.210717358,0.17727989
vannamei,0.174329089,0.137827277,0.104946846
vannamei,0.178444077,0.136840712,0.542553316
