"","total.farmed"
"1",167.73877199856
"2",165.010026418229
"3",212.914864427845
"4",185.631998263058
"5",190.340429144187
"6",163.239433857552
"7",190.223815281868
"8",164.211241063045
"9",167.844454276039
"10",160.278683316507
"11",182.906321009755
"12",163.422590590109
"13",160.740289611734
"14",187.459494382743
"15",154.861733072034
"16",164.88894928874
"17",139.769489707612
"18",206.666693046113
"19",168.334532519595
"20",146.070911275794
"21",178.870110244271
"22",176.971799611418
"23",153.362808656765
"24",212.261512921345
"25",183.047830940742
"26",174.385212968483
"27",172.510892602367
"28",167.678938383896
"29",213.291855320682
"30",215.298019079323
"31",183.975376782202
"32",210.645696278609
"33",166.213880363687
"34",184.256770286146
"35",139.287681729576
"36",145.360018233489
"37",136.963934481832
"38",195.460268943504
"39",189.311177384611
"40",134.209343578848
"41",174.794703019475
"42",187.556382508447
"43",139.389564515913
"44",166.41144269662
"45",198.669405475303
"46",167.046397038563
"47",165.214243661066
"48",160.551553649015
"49",165.4296770147
"50",178.982888602605
"51",152.60363320141
"52",165.134275262076
"53",176.777164015738
"54",160.783500292856
"55",181.092726433017
"56",170.988638282785
"57",199.357722122236
"58",189.370580354738
"59",192.838433164583
"60",166.155785225592
"61",160.402906238722
"62",151.724838375184
"63",199.884027220598
"64",188.671955452542
"65",139.442855325613
"66",163.6160330835
"67",165.10615044058
"68",176.18314027127
"69",126.393588626569
"70",166.979451213424
"71",206.465470132612
"72",181.029625659075
"73",192.586512488617
"74",168.049749306621
"75",177.808749293426
"76",165.948768242461
"77",159.530776332014
"78",167.355254103978
"79",200.95265346371
"80",195.237850852354
"81",142.87928044104
"82",149.152175443224
"83",181.625589649963
"84",226.781731602352
"85",203.680203493749
"86",181.532269706312
"87",202.341161761993
"88",150.957002456221
"89",189.533817931238
"90",176.833411401127
"91",150.242874201079
"92",144.494519735855
"93",162.923644142686
"94",197.98995918104
"95",166.388348793402
"96",183.070397000101
"97",215.67186039863
"98",157.84227846498
"99",190.439710274478
"100",154.434991222714
"101",162.708418651712
"102",147.179154395542
"103",190.575884306806
"104",219.813407117159
"105",173.710316464697
"106",191.65893774712
"107",143.90088157907
"108",181.523128441305
"109",171.404891499817
"110",150.199425873261
"111",157.465319872183
"112",162.557406674468
"113",176.453621747197
"114",207.562741248268
"115",213.173387123249
"116",181.84239551731
"117",175.459574841952
"118",229.972797329201
"119",169.102038162145
"120",191.211541783227
"121",174.542687197791
"122",174.80480403768
"123",185.55359479082
"124",162.940137250467
"125",147.365674058695
"126",218.969806074851
"127",203.568095072252
"128",199.658572082459
"129",195.260693495259
"130",192.868071858368
"131",150.966145720431
"132",188.395190850375
"133",162.059338012941
"134",184.205103644872
"135",174.123633995666
"136",161.987777933243
"137",159.114179864154
"138",193.159557554105
"139",181.271944927059
"140",179.611894038724
"141",177.033712383078
"142",148.118745663234
"143",167.58365185059
"144",166.095324269344
"145",195.018515504251
"146",202.615476049103
"147",176.737913061157
"148",182.774121283186
"149",170.838007296416
"150",173.122804367556
"151",185.636346365283
"152",189.117226019384
"153",171.063429672115
"154",143.815391831589
"155",141.582177122418
"156",168.895110027925
"157",164.690242527979
"158",175.186143916744
"159",181.296470504064
"160",217.983188994877
"161",178.518810980294
"162",146.700528671877
"163",222.99600367824
"164",190.225819638769
"165",160.577880629868
"166",159.48353312346
"167",166.538210875611
"168",160.598147347958
"169",154.318514802166
"170",167.234688117527
"171",185.077869841975
"172",212.575335407356
"173",187.669725022684
"174",151.93170661493
"175",197.891291357114
"176",198.199792346885
"177",174.198174192682
"178",161.125900508128
"179",187.275094744636
"180",171.332191861097
"181",155.613152274511
"182",189.627392793608
"183",187.104546492613
"184",183.995202397342
"185",176.445595057981
"186",214.357953143839
"187",182.387363592561
"188",182.196889928474
"189",188.3254123049
"190",203.992604764387
"191",195.68575304968
"192",219.179665543129
"193",145.389133258621
"194",215.806825525449
"195",149.629982228267
"196",181.981779806444
"197",147.408653240328
"198",172.850101070457
"199",157.7095881042
"200",186.36638536188
"201",194.930450947158
"202",163.920465600994
"203",162.717883814723
"204",149.353692457092
"205",144.376569168668
"206",173.29182316167
"207",169.589433598353
"208",168.050911632071
"209",172.595407269431
"210",147.189483037231
"211",190.968517884763
