species,larval,postlarval,juvenile.adult,total_farmed_d
macrobrachium,9.62982918,38.64031562,107.1278338,180.4665562
macrobrachium,13.97258436,36.3579797,87.61431564,165.9323085
macrobrachium,10.30434701,54.36435052,66.66120866,195.1186499
macrobrachium,50.16633006,45.54897484,110.1548811,153.3315852
macrobrachium,4.843829631,48.48308388,57.32082063,148.8963055
macrobrachium,11.09430741,71.09316774,79.57563171,126.9381602
macrobrachium,11.39321098,51.38580345,108.3009727,157.9441646
macrobrachium,5.740615165,56.43873331,79.27332123,234.5182929
macrobrachium,21.48273975,33.50001581,59.50497929,282.2352353
macrobrachium,7.133825453,45.04156572,98.69612117,138.7148553
macrobrachium,25.10427735,23.92834158,111.1367275,249.6418708
macrobrachium,7.678043034,29.38312422,97.27340566,182.77112
macrobrachium,7.530209749,36.86005978,100.2356242,168.879719
macrobrachium,6.602142337,27.08673456,103.4135401,165.7797432
macrobrachium,6.770542859,33.11818977,115.1042389,253.1890732
macrobrachium,14.42491542,51.6968182,162.0559939,141.5598413
macrobrachium,7.872912713,39.77379505,129.6614666,208.1915125
macrobrachium,6.588107058,41.23294302,156.4326332,213.4696797
macrobrachium,4.574149563,32.55645929,119.6130765,148.3987837
macrobrachium,8.542982442,30.88832317,124.3553771,173.9324125
macrobrachium,9.598298678,45.24008987,105.9630538,158.2558947
macrobrachium,26.20202265,64.04079449,84.29473209,154.3239078
macrobrachium,2.576440743,40.56789051,115.23872,172.3088372
macrobrachium,8.328339513,49.23453728,100.4593434,144.6605543
macrobrachium,10.28269493,60.93718268,79.70211871,125.659596
macrobrachium,2.470446596,53.39932677,158.5263576,226.2933216
macrobrachium,17.06832891,33.73647216,110.0932542,169.4209981
macrobrachium,3.474811299,48.16265898,88.22572846,171.0026524
macrobrachium,28.57400723,32.86145343,177.4402894,153.4935764
macrobrachium,8.610940707,50.52635871,68.4780606,351.4062699
macrobrachium,3.464807947,56.32466997,83.33931664,224.6726804
macrobrachium,19.89743989,23.95865814,90.76530117,174.300461
macrobrachium,5.969964359,44.52002927,115.7957267,375.6387114
