species,larval,postlarval,juvenile-adult
macrobrachium,0.495255859,0.161011627,0.336428403
macrobrachium,0.523232798,0.123530782,0.432259458
macrobrachium,0.434880906,0.180940817,0.569470471
macrobrachium,0.622426611,0.082409474,0.449513053
macrobrachium,0.597376729,0.156733305,0.583450572
macrobrachium,0.696117528,0.109923094,0.600721832
macrobrachium,0.587071238,0.230503395,0.488266292
macrobrachium,0.526659101,0.14324868,0.511849364
macrobrachium,0.51234422,0.180692774,0.536875145
macrobrachium,0.511084004,0.278263374,0.487009032
macrobrachium,0.553543444,0.144171008,0.436404521
macrobrachium,0.398716829,0.195473328,0.493232947
macrobrachium,0.47340373,0.141151759,0.496642239
macrobrachium,0.546480166,0.157632068,0.598628974
macrobrachium,0.558047985,0.208371795,0.385294853
macrobrachium,0.529346464,0.210041845,0.558432979
macrobrachium,0.483781,0.131518429,0.464802958
macrobrachium,0.516151681,0.136595361,0.45369192
macrobrachium,0.482972406,0.190328357,0.432220214
macrobrachium,0.430177306,0.234136703,0.412589541
macrobrachium,0.496562525,0.174962669,0.577454431
macrobrachium,0.671387362,0.294520828,0.543993726
macrobrachium,0.501540808,0.124765736,0.462348973
macrobrachium,0.60742123,0.23798697,0.484640369
macrobrachium,0.572445323,0.127736008,0.498733755
macrobrachium,0.482398605,0.181105344,0.597570505
macrobrachium,0.675192847,0.138442955,0.45847929
macrobrachium,0.472467074,0.141140259,0.477800601
macrobrachium,0.497114507,0.135030856,0.551799148
macrobrachium,0.549537579,0.158751853,0.442898168
macrobrachium,0.386585768,0.117917928,0.368616774
macrobrachium,0.590764023,0.136257895,0.45975633
macrobrachium,0.562926721,0.171992385,0.492335907
macrobrachium,0.569484969,0.297982807,0.382725138
macrobrachium,0.427425013,0.288099191,0.469160847
macrobrachium,0.504808908,0.198157584,0.437292975
macrobrachium,0.474367242,0.226874752,0.470650229
macrobrachium,0.741229124,0.198291956,0.43454826
macrobrachium,0.639296353,0.143770393,0.487160654
macrobrachium,0.516793334,0.119151634,0.520006836
macrobrachium,0.458948887,0.099367878,0.505803655
macrobrachium,0.560193286,0.286517172,0.426512884
macrobrachium,0.587608644,0.098888053,0.394600688
macrobrachium,0.555250018,0.131579011,0.476570886
macrobrachium,0.531113442,0.232109738,0.388303896
macrobrachium,0.473298269,0.247469208,0.466809934
macrobrachium,0.633375705,0.205502663,0.549992469
macrobrachium,0.576577955,0.278424291,0.455320684
macrobrachium,0.456969151,0.1570376,0.479232287
macrobrachium,0.475714747,0.192618126,0.472160571
macrobrachium,0.381264845,0.193684743,0.565337134
macrobrachium,0.476037979,0.164642188,0.467396946
macrobrachium,0.548272557,0.283282702,0.544975687
macrobrachium,0.493057263,0.100354341,0.491089457
macrobrachium,0.674631781,0.113616518,0.564835373
macrobrachium,0.592317557,0.133767408,0.539465497
macrobrachium,0.379793128,0.117206297,0.474958939
macrobrachium,0.425824455,0.140882259,0.481276747
macrobrachium,0.714058538,0.252339753,0.425878526
macrobrachium,0.60027678,0.204730547,0.47944474
macrobrachium,0.536266818,0.183532514,0.508357591
macrobrachium,0.477553309,0.135865784,0.514835425
macrobrachium,0.498037809,0.270047659,0.590842558
macrobrachium,0.684748703,0.230660755,0.600298233
macrobrachium,0.540898626,0.232345665,0.538429609
macrobrachium,0.55973936,0.238989521,0.427014361
macrobrachium,0.518011874,0.164403043,0.510213087
macrobrachium,0.575564181,0.149896208,0.541603781
macrobrachium,0.486833254,0.1517345,0.458440958
macrobrachium,0.602499537,0.241694316,0.503617838
macrobrachium,0.460516792,0.190662185,0.447607617
macrobrachium,0.312730313,0.141177293,0.498041911
macrobrachium,0.684890633,0.206371829,0.528974783
macrobrachium,0.495880165,0.230509521,0.547929588
macrobrachium,0.468507579,0.235866396,0.462100961
macrobrachium,0.522503691,0.242026203,0.388156277
macrobrachium,0.476573166,0.231468903,0.392177502
macrobrachium,0.493243762,0.143059252,0.467438877
macrobrachium,0.68262804,0.127792538,0.443943186
macrobrachium,0.461512524,0.135252358,0.453614695
macrobrachium,0.501130061,0.193183523,0.567636288
macrobrachium,0.671149763,0.309004514,0.410098847
macrobrachium,0.557460574,0.144552175,0.406709324
macrobrachium,0.595149273,0.186902138,0.556976291
macrobrachium,0.34064596,0.267172492,0.479847907
macrobrachium,0.511422277,0.380770967,0.474628638
macrobrachium,0.520261383,0.152499393,0.57927964
macrobrachium,0.504550048,0.174485115,0.482326488
macrobrachium,0.668244939,0.136688196,0.545273245
macrobrachium,0.572024252,0.101790565,0.550116617
macrobrachium,0.444875708,0.219913962,0.524216276
macrobrachium,0.616720081,0.180337834,0.550390668
macrobrachium,0.412866123,0.16754412,0.412709314
macrobrachium,0.624070127,0.102119773,0.588808238
macrobrachium,0.512713488,0.221218962,0.480411576
macrobrachium,0.504643079,0.246009706,0.502373261
macrobrachium,0.636397386,0.201174156,0.470473037
macrobrachium,0.607841358,0.129240684,0.477169515
macrobrachium,0.521535577,0.13958059,0.508547797
