species,larval,postlarval,juvenile.adult,total_farmed_d
monodon,5.408808633,20.20408357,90.78696211,130.1419582
monodon,1.654984063,14.00405686,48.26580513,159.4208168
monodon,1.78128842,15.25321163,104.2456262,164.7415
monodon,2.683446533,16.25700812,76.46676181,180.3537451
monodon,3.664513863,12.66141312,113.4706027,175.5081174
monodon,10.33044637,15.17016226,50.74869269,142.4805946
monodon,0.903332693,13.74401642,63.1099488,162.9730624
monodon,2.337822192,15.11696928,50.94037971,198.3667007
monodon,8.18029809,27.37251282,99.31606021,172.4189239
monodon,2.062724581,16.11803729,45.67044393,172.0815344
monodon,1.782723635,19.70039259,71.53623114,170.4802425
monodon,3.767839436,17.31932744,37.034376,206.3357991
monodon,8.03645738,13.57705478,42.78162125,157.9747173
monodon,2.901057289,13.9425796,38.10887512,199.9240986
monodon,4.879948712,9.690394624,77.31544413,158.6590435
monodon,0.642641481,20.78758388,107.5612986,168.4857278
monodon,1.448037261,21.08844384,62.00691713,158.3494488
monodon,0.713313796,26.68096959,77.61406646,166.3667457
monodon,2.26281581,17.67304856,49.99986485,156.8691388
monodon,3.046814119,17.38896338,65.22836359,150.3065872
monodon,8.827923541,10.85153064,66.90651623,180.9376946
monodon,1.080972375,16.1648356,161.9401558,174.5361016
monodon,1.754643792,19.79837558,81.16026646,155.3431274
monodon,2.299411943,15.26993873,73.72794482,199.4379725
monodon,2.368996569,23.04938525,63.15630513,173.1390912
monodon,0.495043274,20.55181099,74.24444896,152.1557675
monodon,2.655953523,13.00728686,59.41502754,187.4990395
monodon,0.957717904,9.956836697,91.60444851,181.9729922
monodon,1.754839834,21.56124207,63.5078037,171.9830113
monodon,4.825466162,13.9159427,41.20862805,223.3117079
monodon,5.175218287,11.3900424,54.21297385,156.9824814
monodon,0.658200258,20.34252443,75.81391363,170.8361086
monodon,1.054209832,23.42890307,65.80468937,169.5503262
monodon,0.947091575,11.16474371,72.7847746,180.748372
monodon,0.999658283,15.59503756,51.04408486,129.1533769
monodon,2.401436942,14.05157648,61.70877592,261.681252
monodon,10.6509045,22.04085151,42.97793242,136.0036558
monodon,2.950252266,14.80725722,107.7032747,163.0859101
monodon,1.280398945,21.01623959,49.58521944,169.5425426
monodon,6.617344512,16.90925655,71.15270035,184.7884126
monodon,1.814219835,21.63045071,47.38140133,164.2434147
monodon,3.010932148,15.46529747,49.77549012,178.2887297
monodon,1.100509204,13.60989173,163.1289947,157.120569
monodon,1.855867239,14.48420051,70.72572751,198.1687817
monodon,6.106903519,21.98139838,70.65805991,200.4771598
monodon,2.274255346,18.03345756,58.06998026,192.6784348
monodon,13.96019638,7.274950341,98.11283678,170.0459181
monodon,2.579546148,23.22538645,52.83234355,138.8965497
monodon,16.15201001,17.12847453,73.42123599,162.7296682
monodon,1.80464761,12.34682017,99.74767862,173.0848943
monodon,0.802149864,14.07144438,64.20478815,144.4174442
monodon,3.221285398,12.45968111,65.84786037,157.5552909
monodon,1.299241711,11.11059608,70.5413986,164.4090411
monodon,0.43724886,16.10764292,77.91737963,144.1048658
monodon,3.732342994,14.15347238,95.21412934,195.729081
monodon,2.705998743,21.29930048,97.9089741,168.3611481
monodon,3.197440219,13.89101603,131.9087962,162.7831745
monodon,2.604846423,13.90560218,73.62212832,215.7513316
monodon,3.029181714,16.97788012,65.94027279,189.3857326
monodon,1.061038377,15.77172115,45.25046583,187.6107945
monodon,21.7972294,14.40911607,274.685099,179.5701594
monodon,1.633828566,12.31442652,72.69832855,186.0396573
monodon,0.136658211,11.90224995,90.20259683,180.8142617
monodon,4.040270032,12.75923634,39.90730981,164.547865
monodon,2.13780772,15.50300979,46.61168284,182.5273921
monodon,2.491313707,15.36604413,77.68846628,143.0714873
monodon,7.04150244,20.64088216,99.32775973,176.3091691
monodon,4.164310989,26.63766128,110.1365626,163.6380183
monodon,1.061054327,26.93633965,74.64781786,188.7719954
monodon,6.144658555,14.56854338,65.72223912,146.2163553
monodon,10.91549024,19.40923433,55.51848157,188.6677313
monodon,3.631398069,16.99735166,49.75936113,143.1182412
monodon,10.38661116,12.5484086,92.61210791,175.9105023
monodon,3.930306229,19.88559671,120.2093369,195.2378051
monodon,0.66848495,15.87689036,108.8751885,201.5759912
monodon,1.58176323,15.77793267,70.1210589,195.6467931
monodon,5.081388851,16.12466793,93.58271681,198.8610275
monodon,3.240424175,13.7326123,85.48572388,176.4566163
monodon,3.872604763,27.59632616,41.67011738,184.3854615
monodon,8.912739239,11.40690516,107.5401578,172.84155
monodon,1.589760939,25.19737328,117.8642663,189.4734398
monodon,28.53847096,15.60839107,49.7801403,174.7564413
monodon,1.134690329,27.00084655,57.10164591,157.7907815
monodon,1.31840308,15.6880773,67.61817877,179.2110009
monodon,5.049071223,15.42206792,84.25615233,158.3243811
monodon,4.833702007,13.12694864,18.22303504,162.6047788
monodon,1.459800219,11.33577914,73.15640339,176.1295023
monodon,2.402787191,13.59910375,37.6853205,148.3610563
monodon,2.042725666,17.27784243,55.16476575,185.8462057
monodon,9.418831914,9.816086633,78.17037158,183.4359428
monodon,6.545064904,13.47142616,52.09237396,169.0886132
monodon,2.478223806,11.82214566,147.6488091,172.4880303
monodon,2.908650168,10.01571178,59.77266421,204.3824357
monodon,3.094027473,15.3711661,58.74583184,181.7435037
monodon,1.122544068,21.2719675,103.8619779,199.1279119
monodon,5.680790127,21.4511849,75.79148193,184.8004255
monodon,1.748850135,15.93191276,55.86484209,186.6416166
monodon,0.9464295,13.64422434,81.7999411,177.1770539
monodon,0.921885637,12.23691117,61.34198684,164.9630507
monodon,1.118291722,23.94559529,42.20351834,152.0627628
monodon,1.273571797,16.05756273,88.04476349,176.940054
monodon,2.118972967,19.51873323,107.7062915,147.4852864
monodon,0.630292272,9.579518973,43.18972999,175.5085417
monodon,5.493703905,17.73863633,102.841042,182.7776715
monodon,1.000848144,13.02911402,109.1165476,137.7319219
monodon,1.513052502,13.31400597,97.46137535,178.8846925
monodon,1.596667377,16.07387682,39.43713558,172.056675
monodon,2.41411962,15.72586222,61.05589919,159.5975421
monodon,4.682365654,9.121425422,80.72348733,180.9172107
monodon,1.529484727,13.39701728,136.8950412,202.0124061
monodon,4.766318376,18.04329433,66.47980286,182.6866349
monodon,0.718828729,10.65351018,76.95520989,181.0037878
monodon,2.292285813,9.826258257,66.0384442,210.7186927
monodon,0.863111479,22.68859374,129.5280277,143.6977963
monodon,1.43491476,25.98064386,127.9869156,144.8831245
monodon,1.342055331,13.53904314,98.3248261,142.1442371
monodon,2.21595948,16.51936868,38.25059203,196.4875065
monodon,3.359976859,14.02844884,113.2363065,187.0394446
monodon,0.53576253,13.87816643,46.25956851,167.2484367
monodon,0.68960931,16.01018001,105.1770965,152.9970515
monodon,1.302492232,16.77586491,169.3124728,168.5313922
monodon,2.823858164,15.01544963,89.53418017,168.4915665
monodon,0.541838826,11.92337012,41.04137325,173.3734704
monodon,2.73007159,14.0739758,95.64054356,148.6816594
monodon,2.24059384,28.67904216,25.88463488,151.2374535
monodon,2.920856257,15.52732824,58.79765123,137.2414906
monodon,8.781386108,12.0570735,92.32640174,199.4274422
monodon,5.785729182,25.0406106,51.60926492,180.4086421
monodon,7.53448882,15.84873359,53.69754661,202.5903235
monodon,4.350422035,17.34398155,69.10687067,163.3994488
monodon,6.51359546,18.11718083,58.91746937,162.9306367
monodon,4.016921108,12.11398963,94.01397215,201.6976984
monodon,16.69256633,14.67844648,50.81072387,183.9832762
monodon,4.791094874,15.65116739,72.35335138,229.7440581
monodon,0.843578327,21.42812998,80.43006884,174.7607156
monodon,0.879280057,18.23596321,89.83481783,206.7108317
monodon,3.451945815,12.59878041,101.0804678,194.3712507
monodon,1.347066427,18.16620098,92.26503775,172.284165
monodon,13.83399532,14.71382344,62.13287386,180.2377797
monodon,6.429364216,18.49825905,37.29114187,181.3998739
monodon,0.805146537,20.5495447,102.9130985,128.6494267
monodon,2.584475854,19.30762055,93.64951603,147.6483916
monodon,3.248071935,16.94390106,57.83635815,182.5859438
monodon,0.701562049,16.16920606,54.43207044,165.1859498
monodon,4.595796429,16.86455771,125.3187282,178.6023187
monodon,1.046263615,15.0078278,54.15387145,175.5568003
monodon,2.215075861,15.25645819,78.58349005,171.9966431
monodon,3.380679053,16.2500868,69.83933513,191.3172892
monodon,2.137516605,11.14046544,41.11831559,202.3660624
monodon,0.90632073,14.98460717,43.19480954,188.2219725
monodon,17.13758344,11.54142098,56.57820597,150.9670462
monodon,7.637217441,16.63035694,135.5090942,170.7694415
monodon,1.468128372,18.34922019,74.69866653,207.9026604
monodon,1.431976157,22.87651286,38.13305053,167.7884624
monodon,0.567979077,13.74929831,45.69870991,185.3018439
monodon,2.683002492,17.900145,72.76380784,181.0318831
monodon,0.517411792,11.28932585,59.99532029,163.9247555
monodon,10.64165985,14.50480801,83.66617056,170.1190732
monodon,2.826100565,13.99390155,45.36713933,185.1721431
monodon,1.542011356,15.35771777,77.49086419,170.8172475
monodon,5.525277057,16.01188896,103.5278188,180.2783688
monodon,2.092449433,15.31950496,65.3027202,174.5794483
monodon,4.848048272,15.75013692,68.01654467,164.9286333
monodon,0.503326511,15.66946868,56.41732042,192.6064067
monodon,1.594508471,10.51112903,35.58981993,165.3027294
monodon,3.227919911,11.25080861,74.58853715,167.9759741
monodon,0.376014281,12.74962814,135.1192953,186.9763095
monodon,3.846741154,18.20193842,119.1648162,182.2171018
monodon,2.690247825,23.4079112,106.7463522,216.2495329
monodon,4.794385405,23.23528775,98.05408273,156.7435103
monodon,2.830762752,21.33970413,82.80829305,165.3975948
monodon,5.302184879,21.54105866,85.1212641,169.0222627
monodon,3.755664607,15.24975091,49.16834285,130.0548673
monodon,4.157595171,22.73318856,74.55013777,178.9476289
monodon,1.052240529,9.885916396,68.87163144,166.408346
monodon,1.05418512,21.01665142,58.26653271,156.07369
monodon,1.000798019,17.53301538,49.92050637,184.1958475
monodon,0.307592475,17.70618406,80.97414209,167.9100063
monodon,4.424171307,19.92719658,88.14576129,185.4406307
monodon,3.289646479,7.366679915,166.605186,163.4881216
monodon,4.73329884,15.66863517,129.9959392,167.8557725
monodon,3.340593027,10.42527598,71.70263611,158.5058829
