"","total.farmed"
"1",222.767263477435
"2",129.125286130853
"3",175.666658493261
"4",277.978315303076
"5",136.872132689534
"6",163.239868204732
"7",215.755164812192
"8",142.465965626507
"9",131.820864756145
"10",181.200488878593
"11",160.738456060138
"12",164.865419446902
"13",195.347222678202
"14",196.466879299576
"15",149.684880257478
"16",187.236116401277
"17",156.059888851876
"18",210.138007445828
"19",170.631738550753
"20",187.618737494015
"21",201.645534077074
"22",179.652239154946
"23",171.634724799169
"24",172.309081857145
"25",190.923922049547
"26",186.010317738432
"27",151.353821004639
"28",187.746929034133
"29",192.538277390016
"30",178.987203488471
"31",149.909954654533
"32",152.005289664532
"33",223.335142201829
"34",176.485395528645
"35",187.437367568931
"36",159.566720411099
"37",151.2637578413
"38",208.807619335862
"39",157.835942422876
"40",190.477164284109
"41",178.093417971037
"42",164.406178033134
"43",167.567388371281
"44",150.677560267844
"45",242.50755835501
"46",129.236084103728
"47",149.862954045522
"48",194.003610844245
"49",171.819438442343
"50",169.16859638374
"51",162.941095487272
"52",134.462829984607
"53",193.367559192841
"54",126.535629201217
"55",187.260662916698
"56",177.701786313582
"57",162.670322791337
"58",183.353559464405
"59",261.456625158177
"60",152.8689066339
"61",192.845254415808
"62",190.619330130404
"63",172.290208305022
"64",166.149903059578
"65",162.253369278317
"66",178.326919789305
"67",184.177036961931
"68",124.707772435318
"69",152.483244015779
"70",189.756045167316
"71",133.618366020198
"72",131.795039377833
"73",243.43988999293
"74",225.677934091644
"75",197.909170357071
"76",181.868922231342
"77",178.479746640607
"78",168.315627936376
"79",196.682772364429
"80",234.617449817508
"81",199.718769253379
"82",166.517859910542
"83",178.974354878732
"84",187.019100303026
"85",159.534785622081
"86",204.788008404992
"87",182.894066580534
"88",284.223679460594
"89",176.592373515242
"90",144.766950606499
"91",270.271575281913
"92",230.204666015171
"93",193.635134263436
"94",172.029582335161
"95",153.61267306037
"96",157.85434365976
"97",159.158638381332
"98",157.633843159972
"99",131.956166178079
"100",139.336803776734
"101",203.294636689637
"102",146.360594730308
"103",148.620010518471
"104",196.323829178127
"105",135.613526113998
"106",211.53085068472
"107",190.520638860768
"108",160.128339138156
