"","total.farmed"
"1",135.791413060835
"2",109.495469191464
"3",99.9755484863474
"4",212.191825845569
"5",131.539314415724
"6",125.655989175499
"7",145.765776135584
"8",153.270677933324
"9",124.924790576159
"10",125.013369387738
"11",176.343259334907
"12",148.490948662439
"13",145.693361978778
"14",190.279476762836
"15",170.901904579333
"16",124.743535124961
"17",201.088783249354
"18",117.447867047972
"19",115.543258392051
"20",128.284821880393
"21",146.039622294742
"22",138.988777528859
"23",172.084957125007
"24",132.452181342606
"25",171.782954308913
"26",132.138723897131
"27",126.708324787703
"28",185.956052293795
"29",196.27865947244
"30",148.8303716491
"31",169.137295875315
"32",127.613128952657
"33",152.764148092442
"34",156.651054376517
"35",201.688609125247
"36",136.770269839837
"37",145.098850143587
"38",122.023777761836
"39",154.968717760859
"40",162.421967744007
"41",123.932891272047
"42",132.203603552666
"43",106.788229786168
"44",132.38304033951
"45",146.526011628589
"46",173.695961392667
"47",129.92117556936
"48",170.24714824899
"49",196.505199788715
"50",115.665296618947
"51",180.362282139903
"52",179.9908604548
"53",142.451910027512
"54",165.588775130046
"55",169.81961727536
"56",157.655839668585
"57",191.10987993669
"58",168.565621493718
"59",141.117632927809
"60",194.462100369961
"61",175.224818796297
"62",168.511538332158
"63",70.2352143454181
"64",188.272816882785
"65",118.136461297313
"66",115.435645792317
"67",135.518237680831
"68",181.586680322126
"69",133.890162721953
"70",169.157889252299
"71",127.484017168645
"72",132.378757761775
"73",139.658332827406
"74",182.885381189633
"75",172.713172475342
"76",171.496549187361
"77",122.079275863971
"78",148.427767002991
"79",188.201188889446
"80",180.085523551287
"81",149.269524087582
"82",131.46405904153
"83",195.876994264917
"84",138.017710983743
"85",207.46006860022
"86",179.916811898074
"87",122.23795342236
"88",167.565563534688
"89",111.07058965225
"90",149.340562785199
"91",130.213723638499
"92",180.913818305975
"93",150.346088006132
"94",187.86341689594
"95",154.450113693011
"96",166.782025937079
"97",142.28934017613
"98",163.116236812219
"99",173.051754180959
"100",186.657390605692
"101",130.694073439298
"102",122.979375449241
"103",119.527669677455
"104",160.141407571224
"105",144.720662031223
"106",162.294690867117
"107",177.81866169359
"108",151.703974407692
"109",146.735916964221
"110",189.429953801771
"111",132.872004778933
"112",150.599004596699
"113",176.777425957923
"114",132.544923829463
"115",111.38450827103
"116",196.313106084126
"117",115.319290741568
"118",137.717278418744
"119",160.720199345192
"120",126.467519775728
"121",135.925661428251
"122",187.67567971749
"123",175.532906072532
"124",164.276239009458
"125",147.715566916017
"126",181.723820724554
"127",172.223586686002
"128",182.882682571619
"129",148.335278159429
"130",102.246454456373
"131",168.192420989591
"132",200.328137912887
"133",144.644540897258
"134",177.776039914628
"135",127.960397910836
"136",108.694567872313
"137",163.950124902348
"138",114.410422595539
"139",213.442617016635
"140",170.991449963683
"141",156.258851801441
"142",154.060559080079
"143",138.530374498333
"144",143.082104313168
"145",141.428409440342
"146",144.767867101545
"147",111.058320350311
"148",141.384876987996
"149",186.710531983237
"150",157.557922357051
"151",138.644212850074
"152",149.512284351439
"153",114.324994328358
"154",177.710614609912
"155",159.507002283849
"156",120.949386990895
"157",116.827078228306
"158",180.950385670547
"159",169.658514098781
"160",163.844137711724
"161",143.64751459365
"162",174.835687951125
"163",111.870866292055
"164",138.603443083689
"165",162.376635983833
"166",116.041934119813
"167",182.668641463223
"168",171.461841532147
"169",178.158238265397
"170",128.836047614137
"171",123.169568008563
"172",138.735326490556
"173",147.747547888949
"174",138.069572754651
"175",161.797993926403
"176",176.824704370073
"177",155.014339437598
"178",194.254704737489
"179",100.664612670653
"180",173.795822512008
"181",122.872450383649
"182",166.298912951578
"183",148.873705319617
"184",195.28683856496
"185",164.30123831486
"186",134.166862095232
"187",169.948631575803
"188",150.505306158898
"189",193.579948706714
"190",215.682521216769
"191",163.356443901607
"192",152.250433825754
"193",207.864893733857
"194",184.393705698686
"195",190.065421932333
"196",116.339301613769
"197",123.394510696928
"198",158.45979830808
"199",152.032700028443
"200",168.778133921723
"201",161.550525429924
"202",166.232917222406
"203",174.363186939055
"204",122.194418530228
"205",166.443641921454
"206",169.016706422477
"207",146.534721674944
"208",131.807264598251
"209",129.779766513497
"210",126.34478089916
"211",188.809649731014
"212",138.55361457039
"213",139.057663688986
"214",197.354157164454
"215",138.595207797951
